time,side,shares,ref_close
2022-03-15,-1,-64,155.08999633789062
2022-04-05,1,57,175.05999755859375
2022-05-03,-1,-62,159.47999572753906
2022-07-20,1,65,153.0399932861328
2022-09-19,-1,-64,154.47999572753906
2022-11-21,1,67,148.00999450683594
2022-11-22,-1,-66,150.17999267578125
2022-11-23,1,66,151.07000732421875
2022-11-28,-1,-69,144.22000122070312
2022-12-02,1,67,147.80999755859375
2022-12-19,-1,-75,132.3699951171875
2023-02-03,1,64,154.5
2023-08-16,-1,-56,176.57000732421875
2023-11-14,1,53,187.44000244140625
2024-01-17,-1,-54,182.67999267578125
2024-05-08,1,54,182.74000549316406
2024-08-20,-1,-44,226.509994506836
2024-08-29,1,43,229.7899932861328
2024-11-19,-1,-43,228.27999877929688
2024-12-03,1,41,242.6499938964844
