time,side,shares,ref_close
2023-02-02,-1,-37,264.6000061035156
2023-02-03,1,38,258.3500061035156
2023-02-07,-1,-37,267.55999755859375
2023-02-08,1,37,266.7300109863281
2023-03-16,-1,-36,276.20001220703125
2023-03-20,1,36,272.2300109863281
2023-04-25,1,36,275.4200134277344
2023-04-26,-1,-33,295.3699951171875
2023-05-02,1,32,305.4100036621094
2023-05-25,-1,-30,325.9200134277344
2023-05-31,1,30,328.3900146484375
2023-06-15,-1,-28,348.1000061035156
2023-06-16,1,29,342.3299865722656
2023-07-18,-1,-27,359.489990234375
2023-07-20,1,28,346.8699951171875
2023-09-05,-1,-29,333.54998779296875
2023-09-06,1,30,332.8800048828125
2023-09-11,-1,-29,337.94000244140625
2023-09-12,1,30,331.7699890136719
2023-09-22,1,31,317.010009765625
2023-09-25,-1,-31,317.5400085449219
2023-09-26,1,32,312.1400146484375
2023-09-27,-1,-31,312.7900085449219
2023-11-01,-1,-28,346.07000732421875
2023-11-09,1,27,360.69000244140625
2023-11-10,-1,-27,369.6700134277344
2023-11-13,1,27,366.67999267578125
2023-12-14,1,27,365.92999267578125
2023-12-15,-1,-26,370.7300109863281
2024-01-10,-1,-26,382.7699890136719
2024-01-17,1,25,389.4700012207031
2024-01-18,-1,-25,393.8699951171875
2024-01-22,1,25,396.510009765625
2024-02-09,-1,-23,420.54998779296875
2024-02-12,1,24,415.260009765625
2024-03-14,-1,-23,425.2200012207031
2024-03-15,1,24,416.4200134277344
2024-03-21,-1,-23,429.3699951171875
2024-03-22,1,23,428.739990234375
2024-04-15,1,24,413.6400146484375
2024-04-16,-1,-24,414.5799865722656
2024-04-17,1,24,411.8399963378906
2024-04-23,-1,-24,407.57000732421875
2024-04-30,1,25,389.3299865722656
2024-05-01,-1,-25,394.94000244140625
2024-05-15,-1,-23,423.0799865722656
2024-05-16,1,23,420.989990234375
2024-06-12,-1,-22,441.05999755859375
2024-06-14,1,22,442.57000732421875
2024-06-17,-1,-22,448.3699951171875
2024-06-18,1,22,446.3399963378906
2024-07-19,1,22,437.1099853515625
2024-07-22,-1,-22,442.94000244140625
2024-07-24,1,23,428.8999938964844
2024-07-26,-1,-23,425.2699890136719
2024-08-05,1,25,395.1499938964844
2024-08-06,-1,-25,399.6099853515625
2024-09-06,1,24,401.70001220703125
2024-09-09,-1,-24,405.7200012207031
2024-10-07,1,24,409.5400085449219
2024-10-08,-1,-24,414.7099914550781
2024-10-29,-1,-23,431.95001220703125
2024-10-30,1,23,432.5299987792969
2024-10-31,1,24,406.3500061035156
2024-11-01,-1,-24,410.3699951171875
2024-12-04,-1,-22,437.4200134277344
2024-12-10,1,22,443.3299865722656
2024-12-30,1,23,424.8299865722656
