2025-10-19 16:58:19,881 | INFO | __main__ | Starting backtest via CLI
2025-10-19 16:58:19,882 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-19 16:58:19,882 | INFO | logos.data_loader | Downloading BTC-USD [1d] from Yahoo Finance
2025-10-19 16:58:29,919 | INFO | __main__ | Starting backtest via CLI
2025-10-19 16:58:29,919 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-19 16:58:29,920 | INFO | logos.data_loader | Downloading EURUSD=X [1d] from Yahoo Finance
2025-10-19 17:04:35,581 | INFO | __main__ | Starting backtest via CLI
2025-10-19 17:04:35,581 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-19 17:04:35,593 | INFO | logos.data_loader | Downloading BTC-USD [1d] from Yahoo Finance
2025-10-19 17:17:28,770 | INFO | logos.tutor.engine | [Lesson: Mean Reversion] Using MSFT daily bars to illustrate z-score fades.
2025-10-19 17:17:28,773 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 17:17:29,815 | INFO | logos.tutor.engine | Step 1: 10-day SMA = mean(421.50…454.46) = 435.50
2025-10-19 17:17:29,815 | INFO | logos.tutor.engine | Step 2: σ (population std) = 8.50; latest Close = 421.50
2025-10-19 17:17:29,815 | INFO | logos.tutor.engine | Step 3: z = (Price - SMA) / σ = (421.50 - 435.50) / 8.50 = -1.65
2025-10-19 17:18:05,402 | INFO | logos.tutor.engine | [Lesson: Mean Reversion] Using MSFT daily bars to illustrate z-score fades.
2025-10-19 17:18:05,412 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 17:18:06,161 | INFO | logos.tutor.engine | Step 1: 10-day SMA = mean(421.50…454.46) = 435.50
2025-10-19 17:18:06,161 | INFO | logos.tutor.engine | Step 2: σ (population std) = 8.50; latest Close = 421.50
2025-10-19 17:18:06,161 | INFO | logos.tutor.engine | Step 3: z = (Price - SMA) / σ = (421.50 - 435.50) / 8.50 = -1.65
2025-10-19 17:18:06,167 | INFO | logos.tutor.engine | Step 4: BUY entry at 415.49 on 2024-11-20 because z = -1.16 → reversion opportunity.
2025-10-19 17:18:06,167 | INFO | logos.tutor.engine | Step 5: EXIT flat at 417.00 on 2024-11-22 because z = -0.38 → mean hit.
2025-10-19 17:18:06,168 | INFO | logos.tutor.engine | Step 6: SELL entry at 427.99 on 2024-11-26 because z = 1.70 → reversion opportunity.
2025-10-19 17:18:06,168 | INFO | logos.tutor.engine | Step 7: EXIT flat at 422.99 on 2024-11-27 because z = 0.80 → mean hit.
2025-10-19 17:18:06,169 | INFO | logos.tutor.engine | Step 8: SELL entry at 423.46 on 2024-11-29 because z = 1.07 → reversion opportunity.
2025-10-19 17:18:06,169 | INFO | logos.tutor.engine | Step 9: EXIT flat at 447.27 on 2024-12-13 because z = 0.80 → mean hit.
2025-10-19 17:18:06,170 | INFO | logos.tutor.engine | Step 10: SELL entry at 451.59 on 2024-12-16 because z = 1.28 → reversion opportunity.
2025-10-19 17:18:06,170 | INFO | logos.tutor.engine | Step 11: BUY entry at 437.39 on 2024-12-18 because z = -1.93 → reversion opportunity.
2025-10-19 17:18:06,171 | INFO | logos.tutor.engine | Step 12: EXIT flat at 439.33 on 2024-12-24 because z = -0.64 → mean hit.
2025-10-19 17:18:06,171 | INFO | logos.tutor.engine | Step 13: BUY entry at 430.53 on 2024-12-27 because z = -1.40 → reversion opportunity.
2025-10-19 17:18:06,187 | INFO | logos.tutor.engine | Step 14: Sharpe = mean(excess returns)/σ * √252 = nan. Higher ≈ smoother equity curve.
2025-10-19 17:18:06,187 | INFO | logos.tutor.engine | Step 15: Max Drawdown captures worst peak→trough = -inf%. Lower drawdown means sturdier risk.
2025-10-19 17:18:06,188 | INFO | logos.tutor.engine | Saved tutor transcript -> runs/lessons/mean_reversion_20251019-211806.txt
2025-10-19 17:23:53,807 | INFO | logos.tutor.engine | [Lesson: Mean Reversion] Using MSFT daily bars to illustrate z-score fades.
2025-10-19 17:23:53,817 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 17:23:55,060 | INFO | logos.tutor.engine | Step 1: 10-day SMA = mean(421.50…454.46) = 435.50
2025-10-19 17:23:55,060 | INFO | logos.tutor.engine | Step 2: σ (population std) = 8.50; latest Close = 421.50
2025-10-19 17:23:55,060 | INFO | logos.tutor.engine | Step 3: z = (Price - SMA) / σ = (421.50 - 435.50) / 8.50 = -1.65
2025-10-19 17:23:55,065 | INFO | logos.tutor.engine | Step 4: BUY entry at 415.49 on 2024-11-20 because z = -1.16 → reversion opportunity.
2025-10-19 17:23:55,066 | INFO | logos.tutor.engine | Step 5: EXIT flat at 417.00 on 2024-11-22 because z = -0.38 → mean hit.
2025-10-19 17:23:55,067 | INFO | logos.tutor.engine | Step 6: SELL entry at 427.99 on 2024-11-26 because z = 1.70 → reversion opportunity.
2025-10-19 17:23:55,067 | INFO | logos.tutor.engine | Step 7: EXIT flat at 422.99 on 2024-11-27 because z = 0.80 → mean hit.
2025-10-19 17:23:55,068 | INFO | logos.tutor.engine | Step 8: SELL entry at 423.46 on 2024-11-29 because z = 1.07 → reversion opportunity.
2025-10-19 17:23:55,068 | INFO | logos.tutor.engine | Step 9: EXIT flat at 447.27 on 2024-12-13 because z = 0.80 → mean hit.
2025-10-19 17:23:55,069 | INFO | logos.tutor.engine | Step 10: SELL entry at 451.59 on 2024-12-16 because z = 1.28 → reversion opportunity.
2025-10-19 17:23:55,069 | INFO | logos.tutor.engine | Step 11: BUY entry at 437.39 on 2024-12-18 because z = -1.93 → reversion opportunity.
2025-10-19 17:23:55,069 | INFO | logos.tutor.engine | Step 12: EXIT flat at 439.33 on 2024-12-24 because z = -0.64 → mean hit.
