time,side,shares,ref_close
2023-02-09,1,0,21819.0390625
2023-02-11,-1,0,21870.875
2023-03-09,1,0,20363.021484375
2023-03-11,-1,0,20632.41015625
2023-03-17,-1,0,27423.9296875
2023-03-20,1,0,27767.236328125
2023-04-10,-1,0,29652.98046875
2023-04-14,1,0,30485.69921875
2023-05-28,-1,0,28085.646484375
2023-05-29,1,0,27745.884765625
2023-06-05,1,0,25760.09765625
2023-06-06,-1,0,27238.783203125
2023-06-14,1,0,25124.67578125
2023-06-15,-1,0,25576.39453125
2023-06-20,-1,0,28327.48828125
2023-06-24,1,0,30548.6953125
2023-07-13,-1,0,31476.048828125
2023-07-14,1,0,30334.068359375
2023-07-24,1,0,29176.916015625
2023-07-25,-1,0,29227.390625
2023-08-16,1,0,28701.779296875
2023-08-21,-1,0,26124.140625
2023-09-19,-1,0,27211.1171875
2023-09-20,1,0,27132.0078125
2023-10-01,-1,0,27983.75
2023-10-02,1,0,27530.78515625
2023-10-16,-1,0,28519.466796875
2023-10-17,1,0,28415.748046875
2023-10-20,-1,0,29682.94921875
2023-10-26,1,0,34156.6484375
2023-11-11,-1,0,37138.05078125
2023-11-12,1,0,37054.51953125
2023-11-15,-1,0,37880.58203125
2023-11-16,1,0,36154.76953125
2023-12-02,-1,0,39476.33203125
2023-12-07,1,0,43292.6640625
2024-01-02,-1,0,44957.96875
2024-01-03,1,0,42848.17578125
2024-01-08,-1,0,46970.50390625
2024-01-09,1,0,46139.73046875
2024-01-10,-1,0,46627.77734375
2024-01-11,1,0,46368.5859375
2024-02-08,-1,0,45301.56640625
2024-02-15,1,0,51938.5546875
2024-02-27,-1,0,57085.37109375
2024-03-02,1,0,62029.84765625
2024-03-04,-1,0,68330.4140625
2024-03-05,1,0,63801.19921875
2024-04-13,1,0,63821.47265625
2024-04-14,-1,0,65738.7265625
2024-04-15,1,0,63426.2109375
2024-04-16,-1,0,63811.86328125
2024-04-17,1,0,61276.69140625
2024-04-18,-1,0,63512.75390625
2024-05-01,1,0,58254.01171875
2024-05-03,-1,0,62889.8359375
2024-05-15,-1,0,66267.4921875
2024-05-16,1,0,65231.58203125
2024-05-17,-1,0,67051.875
2024-05-18,1,0,66940.8046875
2024-05-20,-1,0,71448.1953125
2024-05-21,1,0,70136.53125
2024-06-14,1,0,66011.09375
2024-06-15,-1,0,66191.0
2024-06-24,1,0,60277.4140625
2024-06-25,-1,0,61804.640625
2024-07-04,1,0,56977.703125
2024-07-06,-1,0,58303.5390625
2024-07-07,1,0,55849.109375
2024-07-08,-1,0,56705.09765625
2024-07-15,-1,0,64870.15234375
2024-07-16,1,0,65097.1484375
2024-08-02,1,0,61415.06640625
2024-08-07,-1,0,55027.4609375
2024-08-23,-1,0,64094.35546875
2024-08-24,1,0,64178.9921875
2024-09-06,1,0,53948.75390625
2024-09-07,-1,0,54139.6875
2024-09-19,-1,0,62940.45703125
2024-09-20,1,0,63192.9765625
2024-10-29,-1,0,72720.4921875
2024-10-30,1,0,72339.5390625
2024-11-06,-1,0,75639.078125
2024-11-09,1,0,76778.8671875
2024-11-10,-1,0,80474.1875
2024-11-14,1,0,87250.4296875
2024-12-15,-1,0,104298.6953125
2024-12-18,1,0,100041.5390625
