time,side,shares,ref_close
2023-03-10,-1,-9447,1.0584698915481567
2023-04-04,1,9163,1.091226577758789
2023-05-26,-1,-9324,1.0724436044692993
2023-07-05,1,9186,1.0884946584701538
2023-08-21,-1,-9194,1.087559461593628
2023-11-14,1,9344,1.0701825618743896
2024-01-29,-1,-9222,1.0843517780303955
2024-03-14,1,9127,1.0955302715301514
2024-04-12,-1,-9322,1.0726851224899292
2024-05-23,1,9237,1.0825204849243164
2024-06-28,-1,-9338,1.0708472728729248
2024-07-22,1,9175,1.0899182558059692
2024-10-16,-1,-9187,1.0884116888046265
